CCEN;NOM;NOME;DGENRC;DGENRE;GENR;MUNI;DMUNIC;DMUNIE;DTERRC;DTERRE;DEPE;DTITUC;DTITUE;DOMI;CPOS;TEL1;TFAX;EMAIL;PAGINA;COOR_X;COOR_Y
010002;DULANTZI;DULANTZI;CEIP;HLHI;11S0;001;ALEGRÍA-DULANTZI;ALEGRÍA-DULANTZI;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;NTRA. SRA. DE AIALA 20;01240;945187020;945400465;010002aa@hezkuntza.net;http://www.dulantzilhi.hezkuntza.net/web/guest;539721.806930333;4743750.333338606
010003;ZABALEKO;ZABALEKO;CEIP;HLHI;11S0;002;AMURRIO;AMURRIO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;SAN JOSÉ Z/G 98 P.K.;01470;945890462;945891724;010003aa@hezkuntza.net; ;500017.860498745;4767486.791851122
010009;SAN MARTÍN;SAN MARTÍN;CEIP;HLHI;11S0;003;ARAMAIO;ARAMAIO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;NARDEAGA 40;01160;945187157;945187161;010009aa@hezkuntza.net; ;535310.511115586;4766379.51723367
010010;ARTEKO GURE AMA;ARTEKO GURE AMA;CEIP;HLHI;11S0;004;ARTZINIEGA;ARTZINIEGA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LA BÁRCENA 1;01474;945396046;945396520;010010aa@hezkuntza.net;http://www.artekogureama.hezkuntza.net/web/guest;489241.267638106;4774015.143024121
010012;IKASBIDEA IKASTOLA;IKASBIDEA IKASTOLA;CPI;IPI;11T0;008;ARRATZUA-UBARRUNDIA;ARRATZUA-UBARRUNDIA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ITURRIBERO 3 -DURANA-;01520;945187146;945187160;010012aa@hezkuntza.net;http://www.ikasbidea.net;529648.568096458;4748787.068125807
010013;ARAIA HERRI ESKOLA;ARAIA HERRI ESKOLA;CEIP;HLHI;11S0;009;ASPARRENA;ASPARRENA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;SANTSAERREKA 9;01250;945304137;945314689;010013aa@hezkuntza.net; ;555964.866825218;4748589.818275443
010020;ELCIEGO;ELCIEGO;CEIP;HLHI;11S0;022;ELCIEGO;ELCIEGO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;MARQUÉS DE RISCAL 4;01340;945606149;945606333;010020aa@hezkuntza.net; ;531262.873525984;4707221.668642664
010021;LABASTIDA;LABASTIDA;CEIP;HLHI;11S0;028;LABASTIDA/BASTIDA;LABASTIDA/BASTIDA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;LA FLORIDA 3;01330;945331371;945331371;010021aa@hezkuntza.net; ;516939.380216465;4715322.349772448
010022;VÍCTOR TAPIA;VÍCTOR TAPIA;CEIP;HLHI;11S0;031;LAGUARDIA;LAGUARDIA;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;GAZTELU Z/G;01300;945600178;945600178;010022aa@hezkuntza.net; ;534019.302603112;4711586.400214176
010027;FABIÁN LEGORBURU;FABIÁN LEGORBURU;CEIP;HLHI;11S0;036;LAUDIO/LLODIO;LAUDIO/LLODIO;ARABA/ÁLAVA;ARABA/ÁLAVA;11;DEPART. EDUCACIÓN;HEZKUNTZA SAILA;ARETA 45;01400;946722001;946722001;010027aa@hezkuntza.net; ;504640.843628259;4777210.192681003
